title,picture,url,media,press,campaign
"Young mum, 18, slams ‘cruel’ prison system as baby dies in her arms inside cell",https://www.welevelup.org/wp-content/uploads/2023/11/Screenshot-2023-11-17-at-18.50.45.png,https://www.mirror.co.uk/news/uk-news/young-mum-18-slams-cruel-31441633,The Mirror,Yes,PREGNANCY IN PRISON
Premier League teams are playing footballers facing abuse claims,https://www.welevelup.org/wp-content/uploads/2024/01/Screenshot-2024-01-24-at-12.53.28.png,https://www.bbc.com/news/uk-67508310,BBC,Yes,SEXUAL VIOLENCE IN FOOTBALL
Pregnant woman’s jail sentence quashed in ‘landmark’ UK ruling,https://www.welevelup.org/wp-content/uploads/2024/01/Screenshot-2024-01-24-at-13.00.46.png,https://www.theguardian.com/society/2024/jan/19/pregnant-woman-jail-sentence-quashed-in-landmark-uk-ruling,The guardian,Yes,PREGNANCY IN PRISON
UK prison where baby died gives women rape alarms to call for help during labour,https://www.welevelup.org/wp-content/uploads/2024/03/Screenshot-2024-03-06-at-12.42.00.png,https://www.theguardian.com/society/2024/jan/21/uk-prison-hmp-bronzefield-pregnant-women-aisha-cleary,The guardian,Yes,PREGNANCY IN PRISON
"Pregnant women and new mothers shouldn’t be sent to jail, UK public says",https://www.welevelup.org/wp-content/uploads/2024/03/Screenshot-2024-03-06-at-12.39.26.png,https://www.theguardian.com/society/2024/feb/24/pregnant-women-and-new-mothers-shouldnt-be-sent-to-jail-uk-public-says,The Guardian,Yes,PREGNANCY IN PRISON
Fewer pregnant women to be jailed after two babies die behind bars triggering major shift in sentencing,https://www.welevelup.org/wp-content/uploads/2024/03/Screenshot-2024-03-20-at-16.02.05.png,https://www.mirror.co.uk/news/uk-news/prisoner-biting-umbilical-cord-cell-32379333,Mirror,Yes,PREGNANCY IN PRISON
"An inquest has found prison failings contributed to the death of a teenager’s newborn baby, in a jail cell in Surrey. Campaigners say it raises fresh questions over whether pregnant women should be sent to prison in the first place.",https://www.welevelup.org/wp-content/uploads/2023/10/Screenshot-2023-10-17-at-14.40.39.png,No URL,X,Yes,PREGNANCY IN PRISON
Campaigners have demanded an end to the “high-risk” practice of sending pregnant women to prison as new figures show that nearly 200 expectant mothers were be,https://www.welevelup.org/wp-content/uploads/2023/10/Screenshot-2023-10-17-at-14.40.30.png,https://www.thetimes.co.uk/article/jailed-teen-lost-baby-giving-birth-alone-cutting-umbilical-cord-with-teeth-qqcwq70zt,thetimes.co.uk,Yes,PREGNANCY IN PRISON
Baby died after ‘vulnerable’ Black teenage mother gave birth alone in prison cell,https://www.welevelup.org/wp-content/uploads/2023/10/Screenshot-2023-10-17-at-14.40.34.png,//www.independent.co.uk/news/uk/home-news/aisha-cleary-prison-death-coroner-b2383719.html,The Independent,Yes,PREGNANCY IN PRISON
Teen found holding dead baby in cell after biting through umbilical cord,https://www.welevelup.org/wp-content/uploads/2023/10/Screenshot-2023-10-17-at-14.40.39.png,https://www.mirror.co.uk/news/uk-news/blood-covered-teen-found-holding-30576184,The mirror,Yes,PREGNANCY IN PRISON
